Salary,YearsCode,EdLevel,RemoteWork,Is_USA
153000.0,28.0,Bachelors,In-person,1
102036.0,20.0,Masters,In-person,0
140000.0,16.0,Bachelors,In-person,1
185000.0,21.0,Bachelors,Remote,1
30525.0,13.0,Masters,Hybrid,0
206000.0,11.0,Bachelors,Remote,1
59073.0,5.0,Bachelors,Remote,0
111417.0,15.0,Bachelors,Hybrid,0
139628.0,35.0,Masters,Hybrid,0
111417.0,7.0,Bachelors,Hybrid,0
40383.0,9.0,Bachelors,Remote,0
247156.0,18.0,Bachelors,Remote,0
200000.0,20.0,Bachelors,Remote,0
83777.0,31.0,Masters,In-person,0
155000.0,13.0,Bachelors,Remote,1
34370.0,2.0,Bachelors,Hybrid,0
37592.0,30.0,Bachelors,Remote,0
37120.0,5.0,Bachelors,Remote,0
79279.0,21.0,Masters,In-person,0
58322.0,21.0,Bachelors,Remote,0
135000.0,28.0,Bachelors,In-person,1
46276.0,13.0,Bachelors,Remote,0
131210.0,16.0,Bachelors,Hybrid,0
200000.0,28.0,Bachelors,Remote,1
146496.0,30.0,Bachelors,Remote,0
205080.0,8.0,Bachelors,Remote,0
86039.0,15.0,Masters,Hybrid,0
83597.0,20.0,Bachelors,Remote,0
29092.0,11.0,Bachelors,Remote,0
150000.0,30.0,Bachelors,In-person,1
165000.0,32.0,Masters,In-person,1
61222.0,16.0,Masters,Hybrid,0
106369.0,38.0,Bachelors,Remote,0
65000.0,24.0,Bachelors,Remote,1
185000.0,38.0,Bachelors,Remote,1
75184.0,9.0,Masters,Remote,0
128887.0,7.0,Bachelors,Hybrid,0
72693.0,15.0,Bachelors,Remote,0
59241.0,11.0,Masters,Remote,0
185000.0,23.0,Bachelors,Remote,1
171850.0,20.0,Bachelors,Remote,0
75184.0,15.0,Bachelors,Hybrid,0
112309.0,13.0,Masters,In-person,0
86472.0,12.0,Bachelors,Remote,0
53703.0,20.0,Masters,Remote,0
95026.0,20.0,Masters,Remote,0
43435.0,20.0,Masters,Remote,0
137353.0,9.0,Bachelors,Remote,0
109670.0,19.0,Bachelors,Remote,0
83777.0,15.0,Masters,Remote,0
122000.0,20.0,Masters,Remote,1
85925.0,32.0,Masters,In-person,0
195000.0,20.0,Bachelors,Remote,1
44544.0,8.0,Bachelors,Remote,0
73937.0,17.0,Bachelors,In-person,0
89412.0,16.0,Bachelors,Remote,0
229000.0,25.0,Bachelors,Remote,1
91570.0,20.0,Bachelors,Hybrid,0
50000.0,8.0,Bachelors,In-person,1
79894.0,10.0,Bachelors,Remote,0
66242.0,20.0,Bachelors,Remote,0
89147.0,18.0,Masters,Remote,0
38140.0,8.0,Bachelors,Remote,0
42962.0,10.0,Bachelors,Remote,0
160000.0,30.0,Masters,Remote,1
90000.0,14.0,Masters,Remote,0
150000.0,33.0,Bachelors,Remote,1
